,Species,Weight,Height,Width
0,Bream,242.0,11.52,4.02
1,Bream,290.0,12.48,4.3056
2,Bream,340.0,12.3778,4.6961
3,Bream,363.0,12.73,4.4555
4,Bream,430.0,12.444,5.134
5,Bream,450.0,13.6024,4.9274
6,Bream,500.0,14.1795,5.2785
7,Bream,390.0,12.67,4.69
8,Bream,450.0,14.0049,4.8438
9,Bream,500.0,14.2266,4.9594
10,Bream,475.0,14.2628,5.1042
11,Bream,500.0,14.3714,4.8146
12,Bream,500.0,13.7592,4.368
13,Bream,340.0,13.9129,5.0728
14,Bream,600.0,14.9544,5.1708
15,Bream,600.0,15.438,5.58
16,Bream,700.0,14.8604,5.2854
17,Bream,700.0,14.938,5.1975
18,Bream,610.0,15.633,5.1338
19,Bream,650.0,14.4738,5.7276
20,Bream,575.0,15.1285,5.5695
21,Bream,685.0,15.9936,5.3704
22,Bream,620.0,15.5227,5.2801
23,Bream,680.0,15.4686,6.1306
24,Bream,700.0,16.2405,5.589
25,Bream,725.0,16.36,6.0532
26,Bream,720.0,16.3618,6.09
27,Bream,714.0,16.517,5.8515
28,Bream,850.0,16.8896,6.1984
29,Bream,1000.0,18.957,6.603
30,Bream,920.0,18.0369,6.3063
31,Bream,955.0,18.084,6.292
32,Bream,925.0,18.7542,6.7497
33,Bream,975.0,18.6354,6.7473
34,Bream,950.0,17.6235,6.3705
35,Roach,40.0,4.1472,2.268
36,Roach,69.0,5.2983,2.8217
37,Roach,78.0,5.5756,2.9044
38,Roach,87.0,5.6166,3.1746
39,Roach,120.0,6.216,3.5742
40,Roach,0.0,6.4752,3.3516
41,Roach,110.0,6.1677,3.3957
42,Roach,120.0,6.1146,3.2943
43,Roach,150.0,5.8045,3.7544
44,Roach,145.0,6.6339,3.5478
45,Roach,160.0,7.0334,3.8203
46,Roach,140.0,6.55,3.325
47,Roach,160.0,6.4,3.8
48,Roach,169.0,7.5344,3.8352
49,Roach,161.0,6.9153,3.6312
50,Roach,200.0,7.3968,4.1272
51,Roach,180.0,7.0866,3.906
52,Roach,290.0,8.8768,4.4968
53,Roach,272.0,8.568,4.7736
54,Roach,390.0,9.485,5.355
55,Whitefish,270.0,8.3804,4.2476
56,Whitefish,270.0,8.1454,4.2485
